time,px,py,pz,dx,dy,dz,dw
1690979860.542727,0.0,0.0,0.0,0.0,-0.0,0.0,1.0
1690979861.0362377,-0.03556034713983536,-0.012643917463719845,0.030260266736149788,-0.00026256871430171627,-0.0017050771998486773,-0.00037606793900337994,0.9999984411699441
1690979861.5397377,-0.031366851180791855,-0.006769195199012756,0.03469198942184448,-0.0002516350064789758,-0.0019337751812954036,-0.0006701435418799481,0.9999978740482427
1690979862.044281,-0.027830591425299644,-0.008495374582707882,0.03647053986787796,-0.00032668947132995815,-0.001945233097367598,0.00012217115967683324,0.9999980472062904
1690979862.5502398,-0.029951006174087524,-0.011728918179869652,0.0380542017519474,-0.0003928993767911155,-0.0019732984625745824,-0.0007522629821364865,0.9999976929091702
1690979863.052841,-0.029081212356686592,-0.01557287946343422,0.03737613186240196,-0.0004290265231033157,-0.0021578575505375357,-0.0010248852060678005,0.9999970545943364
1690979863.5570357,-0.02664205990731716,-0.0012110024690628052,0.033325400203466415,-0.00018111927116175227,-0.002147700951252936,-0.00033343828517927204,0.9999976216948435
1690979864.061211,-0.0303795225918293,-0.009524495340883732,0.038489215075969696,-0.0003335954127116834,-0.0013109357517556916,-0.0004969638361959044,0.9999989615937113
1690979864.565575,-0.02830345928668976,0.0010030121775344014,0.08647041767835617,-0.00030000845011276254,-0.001401993607688835,0.0013246210663596116,0.9999980948921274
1690979865.0707147,-0.02424709126353264,-0.010004698298871517,0.18327301740646362,-0.0006599417519583121,-0.0009498016192433505,0.0008910796202220523,0.9999989341648713
1690979865.5741339,-0.027673514559864998,-0.009040625765919685,0.2653405964374542,-0.0008206331004918455,-0.0006593469824343874,0.0001227742086054727,0.9999994383745248
1690979866.0784054,-0.0321340449154377,-0.0044738068245351315,0.3504428565502167,-0.0010855008300228004,0.0008863034688270716,-0.003999147240661286,0.999991021447421
1690979866.5827065,-0.026687121018767357,0.0035639971029013395,0.4535939395427704,-0.0009314790176069027,0.0015137626870550809,-0.006006660685581119,0.9999803802559204
1690979867.087006,-0.024745991453528404,-0.004832549020648003,0.5540739297866821,-0.0013214764630158037,0.0033233756745420957,-0.006172647116188828,0.9999745533270646
1690979867.5913038,-0.02955480106174946,-0.008121645078063011,0.6573765277862549,-0.0015431599439062048,0.004622777873439482,-0.004178287323826005,0.9999793950362976
1690979868.0956402,-0.043722111731767654,-0.018421556800603867,0.7763919234275818,-0.002135887539951352,0.004731134991274718,-0.0016021778404603617,0.9999852435772634
1690979868.5999036,-0.024205489084124565,-0.03126716986298561,1.029749870300293,-0.0015201820577756674,0.00845201162009297,-0.003115175152925382,0.9999582732443647
1690979869.1067264,-0.014012183994054794,-0.035807088017463684,1.27322518825531,-0.0012018715797792697,0.007961184257514877,-0.006692900779747096,0.999945188562391
1690979869.6084957,-0.012726176530122757,-0.030492745339870453,1.481602668762207,-0.0014031530304576185,0.00922664050439693,-0.006126137753355847,0.9999376834097227
1690979870.1128013,-0.019364601001143456,-0.05456773564219475,1.6885533332824707,-0.0022727005858015395,0.014437451522320722,-0.003560866898898456,0.9998868511249243
1690979870.6171465,-0.0164171252399683,-0.06527014076709747,1.8850420713424683,-0.003561920068004666,0.015515292790783659,-0.003566897739194884,0.9998669239731673
1690979871.1214013,-0.0017227684147655964,-0.08565250784158707,2.0860636234283447,-0.004627548035096037,0.017583236765821894,-0.004131133280695802,0.9998261595506676
1690979871.6257281,-0.0021482256706804037,-0.09103336185216904,2.289261817932129,-0.004813767766127654,0.01926136163227291,-0.0036593277504221285,0.9997961976864984
1690979872.1299994,-0.009413618594408035,-0.10073632746934891,2.500326156616211,-0.005745503699605704,0.01922336410655566,-0.002011696297507384,0.9997966815996495
1690979872.6343236,0.009299234487116337,-0.10040343552827835,2.7107954025268555,-0.0061336583690200725,0.020684268547110873,-0.0019383801475567773,0.9997653634488879
1690979873.1386023,-0.010877401567995548,-0.1109643280506134,2.936038017272949,-0.006813791929886293,0.024500006591573642,8.185036953435228e-05,0.9996766053164724
1690979873.642918,0.006797348149120808,-0.11959768831729889,3.165820360183716,-0.0074866268093447385,0.02645353431317664,-5.853470472604025e-05,0.99962200731829
1690979874.1472006,0.01676960103213787,-0.12663258612155914,3.3630826473236084,-0.008076391123349227,0.028794430622221496,-0.0011527167226472513,0.9995520616334708
1690979874.6515284,0.0348881259560585,-0.1236940324306488,3.5748841762542725,-0.00812017925233612,0.029683658514272765,-0.0021662094645915025,0.9995240120390673
1690979875.1557965,0.03820234537124634,-0.13060526549816132,3.7864983081817627,-0.008040740228292416,0.03277776916465835,-0.000580541961901017,0.9994301512943263
1690979875.6600938,0.05071413516998291,-0.13821041584014893,3.997020959854126,-0.008782009984002756,0.036698164066632545,-0.0010773324740139306,0.9992872261815017
1690979876.1644063,0.06209186464548111,-0.14195382595062256,4.204802513122559,-0.008553295266482666,0.03980168187516535,-0.0018762616125315404,0.9991692283604184
1690979876.6686988,0.08237949758768082,-0.14612554013729095,4.413029193878174,-0.009019568479145366,0.04303557968372277,-0.0028176824775435123,0.999028851901281
1690979877.1729863,0.08604312688112259,-0.15706764161586761,4.621620178222656,-0.009220516838481848,0.04517121394607774,-0.0019555603735218943,0.9989347923080337
1690979877.6774197,0.10291775315999985,-0.1709994077682495,4.840143203735352,-0.010519943863165772,0.04593391777875877,-0.0014971473104195808,0.9988879639521847
1690979878.1827161,0.11914036422967911,-0.1755041927099228,5.044830322265625,-0.011347632115567005,0.04812764527345247,-0.0016637673538441445,0.9987753465539659
1690979878.6860723,0.14477156102657318,-0.1749347448348999,5.2466278076171875,-0.012251832455811726,0.050050592719607816,-1.2484297094915832e-05,0.9986715328945914
1690979879.1901855,0.16635601222515106,-0.1714949756860733,5.455715656280518,-0.011786590781213408,0.05116735054567215,-0.0023382196958869356,0.9986178003843845
1690979879.6944919,0.20000484585762024,-0.18275363743305206,5.661512851715088,-0.012577711100058226,0.05392493370119528,-0.003664309647925264,0.9984590505091379
1690979880.1990948,0.2118852734565735,-0.17974312603473663,5.8732709884643555,-0.012533227690649988,0.05570379431648915,-0.0027149812029893068,0.9983649805454254
1690979880.7030914,0.22818070650100708,-0.18996615707874298,6.062088966369629,-0.01371283486777952,0.057138450964200976,-0.002990311194868314,0.9982676062160178
1690979881.2074723,0.25578442215919495,-0.18756255507469177,6.247526168823242,-0.013652817948984809,0.05935766435741051,-0.0044433288792362635,0.9981335206637215
1690979881.7116823,0.2635425329208374,-0.1899806261062622,6.453372955322266,-0.013635138891131156,0.06093199471608117,-0.004077119610789327,0.9980404561454501
1690979882.2159944,0.29021012783050537,-0.18037264049053192,6.633366107940674,-0.014632094626113947,0.06474413019473708,-0.002409188743384476,0.9977917093370631
1690979882.7202897,0.3048330843448639,-0.20404164493083954,6.811932563781738,-0.016240704535566104,0.06518437026157384,-0.0005818228072597535,0.9977408976643243
1690979883.2245877,0.3418769836425781,-0.19973556697368622,6.973321914672852,-0.016697210578392286,0.06685324966443575,-0.0018336411090030618,0.9976214131264869
1690979883.7289991,0.3703260123729706,-0.2087046056985855,7.1518235206604,-0.01676027464303367,0.06870707640912026,-0.003997779858402986,0.9974880694030406
1690979884.2332141,0.39552342891693115,-0.20405247807502747,7.336522579193115,-0.01771558260712993,0.07037180414980743,-0.003845805917936495,0.9973560934242256
1690979884.7387395,0.41554224491119385,-0.20199896395206451,7.512397289276123,-0.017733500937734372,0.07262185191689499,-0.005171725472879035,0.9971884690590265
1690979885.241831,0.4437575340270996,-0.20267824828624725,7.722527503967285,-0.01775127654519949,0.07429073887467057,-0.0040393138761126435,0.9970704399599266
1690979885.7460804,0.46987980604171753,-0.19754430651664734,7.917174816131592,-0.016228429876937144,0.07564748141444164,-0.006486662235679703,0.9969814541065553
1690979886.250444,0.4970245659351349,-0.19651144742965698,8.099332809448242,-0.016444114360820074,0.07668877806564153,-0.005214519305698583,0.9969058286568986
1690979886.7546895,0.5212200284004211,-0.21207894384860992,8.29222583770752,-0.016669079535825037,0.07308953610212064,-0.006490890475156088,0.9971649461551707
1690979887.258991,0.5383833646774292,-0.20233619213104248,8.519389152526855,-0.013621380968437655,0.06889015181135459,-0.005310720237898956,0.9975171182563616
1690979887.7632773,0.5947183966636658,-0.21381479501724243,8.649978637695312,-0.0026196014631143165,0.06659044184672465,0.0005309701244754382,0.9977768131268432
1690979888.2675824,0.6148950457572937,-0.2082803100347519,8.859821319580078,0.001024603655311054,0.06642284197074595,-0.001634297783035378,0.997789699948158
1690979888.7718902,0.6443032622337341,-0.20725645124912262,9.02330493927002,0.0023784022274544233,0.06461906700412899,-0.00486522315924444,0.9978953096322134
1690979889.276177,0.6487151384353638,-0.21259084343910217,9.218137741088867,0.002340061446887941,0.058322750252314946,-0.004423101859186622,0.9982852383389098
1690979889.7827048,0.6694318652153015,-0.21693484485149384,9.383843421936035,0.004445899652752832,0.050717430627692676,-0.006661514306830361,0.9986809302444614
1690979890.284787,0.6975515484809875,-0.21162068843841553,9.556778907775879,0.005939183888172356,0.04542162067675311,-0.0063848452893377,0.998929845494903
1690979890.789075,0.7127367854118347,-0.2170855551958084,9.72270393371582,0.007565984614717811,0.043353392442258394,-0.006206677409437488,0.9990118699975955
1690979891.2933807,0.7304468750953674,-0.21903032064437866,9.870037078857422,0.005705428918093597,0.04160491918970581,-0.005231266452083877,0.9991041550466027
1690979891.7976704,0.745578944683075,-0.2195727676153183,10.041142463684082,0.006465815528912266,0.0415948240654687,-0.005155357180179298,0.9991003383709033
1690979892.3020315,0.7673115730285645,-0.23443296551704407,10.176276206970215,0.004333917453741394,0.039411230744447225,-0.005456250850531073,0.9991987797117088
1690979892.806275,0.7670704126358032,-0.22860309481620789,10.335882186889648,0.004423995006974615,0.041701139611165186,-0.005124956144447548,0.9991071904694839
1690979893.3105655,0.7901724576950073,-0.23713499307632446,10.499613761901855,0.005497082437708316,0.04191559946113284,-0.0016275754704592076,0.9991047070275342
1690979893.8148704,0.7940686941146851,-0.23345990478992462,10.651004791259766,0.006209386375545952,0.041676387162519986,-0.003953733779215535,0.9991040437627715
1690979894.319169,0.803026556968689,-0.23862050473690033,10.784582138061523,0.005340563325888284,0.039857659955000777,-0.0033821999876890046,0.9991853712147296
1690979894.8246412,0.8196855187416077,-0.24204909801483154,10.921598434448242,0.004303772704520882,0.03940423006490543,-0.003172037362038807,0.9992090483840075
1690979895.3279638,0.8353112936019897,-0.24867767095565796,11.063450813293457,0.0030057093570444115,0.03870469976692766,-0.004572076268254719,0.9992357119547971
1690979895.8320732,0.8492684364318848,-0.247163325548172,11.202649116516113,0.0019409893034801598,0.03679382167246339,-0.0034637266768842274,0.9993149903032409
1690979896.336367,0.857327401638031,-0.24510161578655243,11.342116355895996,0.0009451325186054362,0.0361844236812319,-0.003082745548570729,0.9993399275958418
1690979896.844699,0.8614409565925598,-0.2498757690191269,11.488288879394531,0.0016964163437595422,0.03584890082846762,-0.0022955026672329274,0.9993531453637818
1690979897.3450608,0.8770351409912109,-0.2439441829919815,11.634973526000977,0.0032769224982107134,0.034985855889991015,-0.0032091713914800383,0.9993772825542742
1690979897.8492897,0.8844340443611145,-0.24866192042827606,11.760233879089355,0.002045200578894347,0.034335818240919,-0.002202852576591547,0.999405831572362
1690979898.3537273,0.8881667852401733,-0.24060434103012085,11.814884185791016,0.003022167715671296,0.027884382771754947,-0.0017517179096363969,0.9996050515999314
1690979898.8578658,0.9030104279518127,-0.23816201090812683,11.893954277038574,0.003392234162370386,-0.014665193201751563,0.00019261436164130834,0.9998866874578592
1690979899.3621607,0.931069552898407,-0.24258926510810852,11.94892406463623,0.005343812625104076,-0.06647258754861023,0.0010841791909525797,0.9977733526842167
1690979899.8666382,0.9734691381454468,-0.24725626409053802,11.994024276733398,0.003032663207579173,-0.10868233148963397,-0.0022558063947579433,0.9940693462296057
1690979900.3707683,0.9968920350074768,-0.25097203254699707,12.061076164245605,0.003511696363418447,-0.13945090172279462,-0.003545051810254058,0.9902164140252439
1690979900.8756614,1.004218339920044,-0.23800191283226013,12.14549732208252,0.0031762610608883596,-0.16245508707513645,-0.002107900357984996,0.9867085754188841
1690979901.379394,0.9938330054283142,-0.24223852157592773,12.238799095153809,0.0036962828867525364,-0.17648949966116736,-0.003285014843999308,0.9842901008745576
1690979901.8843503,0.9620436429977417,-0.2432471066713333,12.350639343261719,0.004458157448629876,-0.18814688451370437,-0.0019486607554182996,0.982128849693975
1690979902.3881636,0.9387090802192688,-0.24359843134880066,12.428504943847656,0.002702009167730903,-0.1913478776494237,-0.0023084688401628956,0.9815158479806285
1690979902.89227,0.9058260321617126,-0.25025680661201477,12.52964973449707,0.0071047824252965346,-0.190462967128543,-0.005326790660954476,0.9816542189185228
1690979903.3969145,0.856139600276947,-0.2511965334415436,12.633139610290527,0.0051045625410247025,-0.19077169010540548,-0.0042998229460787084,0.9816117446415482
1690979903.9009132,0.8205037117004395,-0.2535144090652466,12.734051704406738,0.005124083593147099,-0.1914202799025499,-0.004636470187245484,0.9814838375406711
1690979904.405153,0.7764366269111633,-0.2561945617198944,12.835105895996094,0.004225911569784119,-0.19130691665254815,-0.0046985149658330515,0.9815099231640071
1690979904.9094577,0.7341911196708679,-0.26171353459358215,12.93387508392334,0.004179874407440907,-0.19044795118577562,-0.004599778065625375,0.9816776194763867
1690979905.4140177,0.6936212182044983,-0.26798635721206665,13.034488677978516,0.0029033925625361924,-0.1898499052821509,-0.002935016008180729,0.9818044456290764
1690979905.9180765,0.651423990726471,-0.2611340284347534,13.130524635314941,0.0029296794247193362,-0.18961829761329554,-0.0048341955796596245,0.9818416108221334
1690979906.4223638,0.6154879331588745,-0.25777560472488403,13.231831550598145,0.0041205169204056,-0.18877731423092112,-0.005609743089502589,0.9819952534277029
1690979906.9267497,0.5738297700881958,-0.2615942358970642,13.339605331420898,0.0037681991572263663,-0.18690752510895284,-0.005190273911989817,0.9823565741569994
1690979907.4309769,0.5395190715789795,-0.2510095536708832,13.44284439086914,0.004620955173913917,-0.18642440615381053,-0.005250150118883684,0.982444412415893
1690979907.935254,0.4893355965614319,-0.26072409749031067,13.542841911315918,0.0037174234453719187,-0.18535096111540453,-0.005028292784204911,0.9826524910914336
1690979908.4395607,0.4663906693458557,-0.26460710167884827,13.637474060058594,0.003353104422817439,-0.1845322054574781,-0.005468410684959373,0.9828055343374443
1690979908.9438598,0.43486732244491577,-0.27369970083236694,13.736420631408691,0.0034319921254816464,-0.18407382650753643,-0.00516844830470742,0.982892840022271
1690979909.4509113,0.3918154537677765,-0.273335725069046,13.8309907913208,0.0010072383798009703,-0.18280811659436716,-0.007294129098104293,0.9831210371356961
1690979909.9524407,0.3407113552093506,-0.26187726855278015,13.93084716796875,-6.808374713987387e-05,-0.18183531755692672,-0.005830754149546596,0.9833117079337673
1690979910.4567442,0.2957303822040558,-0.2688772976398468,14.042216300964355,0.0015305062224199477,-0.18224853398436447,-0.004684055911974778,0.9832401481995466
1690979910.9610498,0.26087573170661926,-0.2712322473526001,14.136090278625488,0.002163189585675679,-0.18179599162322618,-0.005062825057160279,0.9833208559991926
1690979911.4654794,0.21456505358219147,-0.2643055021762848,14.23698616027832,-0.0002141211878514028,-0.1805753200178393,-0.004394462890661501,0.9835513187670861
1690979911.969635,0.169137641787529,-0.2688583433628082,14.348118782043457,0.0014054744844719793,-0.1798159962463806,-0.003667853286913114,0.9836924209262063
1690979912.473946,0.12951959669589996,-0.261649489402771,14.449780464172363,-0.00018552739783201408,-0.17943781669272954,-0.004062564742078835,0.983760911547032
1690979912.978517,0.09477856010198593,-0.2615497410297394,14.550812721252441,-0.000886461524301445,-0.1798632896762585,-0.0047394128325870324,0.9836798001274616
1690979913.4826508,0.054360050708055496,-0.2546613812446594,14.651506423950195,0.00010864196875200942,-0.18019921645984605,-0.0036526876367525933,0.9836233468443134
1690979913.986857,0.0234126728028059,-0.2517019510269165,14.763188362121582,-0.0012697287452027263,-0.17994634808719548,-0.0034301718291392556,0.9836696262059829
1690979914.4911463,-0.025434711948037148,-0.2544773817062378,14.88119125366211,-0.0022948166524322734,-0.18002132919510433,-0.002799566580034591,0.9836560462266898
1690979914.9954486,-0.07560860365629196,-0.2585408389568329,14.998583793640137,-0.001163598284088525,-0.1797244166598933,-0.0019874122835488203,0.9837143031834545
1690979915.4997544,-0.11571315675973892,-0.2512485384941101,15.124677658081055,-0.002422078126294132,-0.17869948027621754,-0.0028241026624773492,0.9838966682181172
1690979916.0041034,-0.16508235037326813,-0.24975353479385376,15.225105285644531,-0.002095648787862665,-0.1780579270645373,-0.003009362728691205,0.9840131739979932
1690979916.5084307,-0.2109891027212143,-0.25763484835624695,15.339847564697266,-0.001967424073534492,-0.17677668161829377,-0.003455168609373176,0.984242955722021
1690979917.0126362,-0.2516959309577942,-0.2550579607486725,15.45761489868164,-0.003313098775272347,-0.1739688720685951,-0.0016185316458581702,0.9847442486671336
1690979917.5170045,-0.2954292595386505,-0.2510607838630676,15.575220108032227,-0.0010978343946515105,-0.1730506168327366,-0.00261627396248521,0.9849088454694701
1690979918.021306,-0.3407634198665619,-0.2529776394367218,15.69743824005127,-9.665270764844084e-05,-0.1726383589222951,-0.003508824879165049,0.9849790230430485
1690979918.5262907,-0.3796703517436981,-0.24754050374031067,15.812982559204102,0.001484505779087019,-0.17206725406194123,-0.003850561064286708,0.9850765602234506
1690979919.0298877,-0.42989110946655273,-0.24784164130687714,15.934670448303223,0.0015634294153517923,-0.17109087706095527,-0.0043936812411610945,0.9852442149234512
1690979919.534154,-0.45355406403541565,-0.2557695806026459,16.043325424194336,0.002580546839216584,-0.1700125765697692,-0.006752428525070512,0.9854153790636375
1690979920.0384357,-0.5007987022399902,-0.25361648201942444,16.170007705688477,0.007033298292501169,-0.168085745160927,-0.008592441759448241,0.9857098381031992
1690979920.5467396,-0.5293561220169067,-0.25434771180152893,16.280235290527344,0.006032725315325263,-0.1675967411389403,-0.007452666401196262,0.9858090060191119
1690979921.0470297,-0.5768976807594299,-0.2600918412208557,16.39356803894043,0.0069335973529823965,-0.16616990667481918,-0.011102853235533576,0.9860102504505005
1690979921.5519235,-0.6186568140983582,-0.25011253356933594,16.512441635131836,0.005209021030389746,-0.16592588861889399,-0.012417719813257738,0.9860462797559629
1690979922.0556307,-0.659769594669342,-0.26460328698158264,16.63011932373047,0.004686641138412202,-0.16684700397240237,-0.011948905685282767,0.9858992526182364
1690979922.559948,-0.7010523080825806,-0.25862348079681396,16.74677276611328,0.003979736287972083,-0.1673517193104315,-0.010052476604894585,0.9858379742417254
1690979923.0645697,-0.7445067167282104,-0.263449490070343,16.867050170898438,0.006688316908602948,-0.16765815889801802,-0.011427353095993815,0.9857562699638671
1690979923.568955,-0.7902981042861938,-0.2702959477901459,16.98121452331543,0.003567931430334584,-0.16721623030727206,-0.008774522609093498,0.9858747435349564
1690979924.0728343,-0.8333458304405212,-0.25884029269218445,17.100696563720703,0.003986861089329283,-0.16652957219847578,-0.0072453889837541825,0.9860017803536265
1690979924.5772202,-0.8771540522575378,-0.26702916622161865,17.212066650390625,0.002557892128209383,-0.16505820489049594,-0.007308268080457104,0.9862534336588399
1690979925.0814223,-0.9157677888870239,-0.2682761251926422,17.333145141601562,0.002361622594254565,-0.16382148795356688,-0.005002322337907076,0.9864744900881265
1690979925.586051,-0.956896960735321,-0.2693682312965393,17.4479923248291,0.001649460285873477,-0.162614916747312,-0.005243826934608827,0.9866742980391807
1690979926.0900435,-0.9975845217704773,-0.26787397265434265,17.563405990600586,0.0027780443144905876,-0.16127353934529723,-0.0020199773086381828,0.9869037681904455
1690979926.594335,-1.035402774810791,-0.26504671573638916,17.65995979309082,0.0038328367134275727,-0.1597904155914411,-0.003122031471371498,0.987138584681672
1690979927.0986629,-1.0902570486068726,-0.277699738740921,17.767057418823242,0.0019608482967843305,-0.14221883381071523,-0.002904588404626167,0.9898290366268696
1690979927.6029701,-1.1520471572875977,-0.2703768014907837,17.906295776367188,0.0024770906986808497,-0.11674902315053849,-0.0032058328026747383,0.9931531866993666
1690979928.114718,-1.2176215648651123,-0.26552814245224,17.993608474731445,0.0008496596235260437,-0.07241332822312685,-0.004790759764754945,0.997362840993713
1690979928.6115484,-1.2959861755371094,-0.2712835967540741,18.09898567199707,-0.00022566218722028459,-0.027715941523462913,-0.00427886142860234,0.9996066561437652
1690979929.115828,-1.3215609788894653,-0.2695200443267822,18.181121826171875,-0.002335643674851826,0.015484427521461817,-0.0044963617365461105,0.9998672711935774
1690979929.6212397,-1.3608182668685913,-0.26996177434921265,18.273723602294922,-0.003972015139273168,0.05873394264060508,-0.004287178779708621,0.9982565638029807
1690979930.124435,-1.383372187614441,-0.2735055685043335,18.36984634399414,-0.004155834287747652,0.10313543019119639,-0.00574636851137466,0.9946420418067905
1690979930.6287203,-1.4014480113983154,-0.2840324342250824,18.422426223754883,-0.006772360662407436,0.1428997777391607,-0.007625438100759076,0.9896846171113948
1690979931.133019,-1.4138737916946411,-0.27111995220184326,18.538938522338867,-0.0004417393021825478,0.19392584298359145,-0.00579102150675055,0.9809989991633021
1690979931.6373267,-1.420452356338501,-0.2743801176548004,18.6275634765625,8.254566012132745e-05,0.23805818898153205,-0.00596883182952037,0.9712325493369949
1690979932.1416097,-1.4158231019973755,-0.2595359683036804,18.744853973388672,0.0017310619830810448,0.28132427223826256,-0.005791512380139855,0.9595937242700023
1690979932.6460302,-1.4178826808929443,-0.2668799161911011,18.7813777923584,0.0018323367699261642,0.30377648780729866,-0.005473429422262843,0.9527258417655013
1690979933.1502197,-1.4480870962142944,-0.2614169120788574,18.846803665161133,0.001408042076207117,0.3540176410246054,-0.006821704940666352,0.9352128055167913
1690979933.6546056,-1.4486311674118042,-0.27150222659111023,18.917451858520508,0.0018667737645782121,0.4038600076771265,-0.005383746188413569,0.9148030523734177
