time_sec,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
1690979859.7242336,-0.0006437009778631484,-0.008290447869713105,0.0012316447666361246,-0.00026149154647573167,0.00015941749507663482,0.000606706891962413,0.9999997690574635,0.0,0.0,0.0,0.0,0.0,0.0
1690979859.825133,-0.0028862037746548662,0.008022099651606725,0.010254674516062861,-0.0004775892861637314,0.00043662530733188786,-0.0002026338744871748,0.9999997701031371,0.0,0.0,0.0,0.0,0.0,0.0
1690979859.9267375,-9.258930045187547e-05,0.0020362452143629036,0.006688179323323924,-0.0002059684999386551,0.00037947240008626864,8.670799478631949e-05,0.9999999030296942,0.0,0.0,0.0,0.0,0.0,0.0
1690979860.0268345,-0.0008643409039629533,0.0012599221349827254,0.004947138895048698,-0.0001252971106881752,0.00017160822589567265,1.9007030531662908e-05,0.9999999772449918,0.0,0.0,0.0,0.0,0.0,0.0
1690979860.1278114,-0.0007893727577123833,-0.0014149328420239983,0.006628427638345521,-9.177521313637157e-05,0.00015313844979349025,0.00014095837188466824,0.9999999741283309,0.0,0.0,0.0,0.0,0.0,0.0
1690979860.430256,0.0028847458087577892,0.0004098879077040229,0.006724189778614356,-0.00021141664087276992,0.00023668620693940954,0.00017326515636709267,0.9999999346309123,0.0,0.0,0.0,0.0,0.0,0.0
1690979860.542727,0.003477727256918233,-0.004925011856342505,0.0059786005915231834,-0.00012592407636958077,0.0002689098774185067,0.000261911204127357,0.99999992161656,0.0,0.0,0.0,0.0,0.0,0.0
1690979860.6334345,0.003433999612305367,-0.0025039588793305395,0.005937036185039151,-0.00017496347110718206,0.00022592135272059068,0.0002677390682851653,0.9999999233315559,0.0,0.0,0.0,0.0,0.0,0.0
1690979860.7328968,0.0046633158926623905,-0.003416624907536802,0.00759299048411594,-0.00031344354591174506,0.00031272049586319735,0.00023594594066287677,0.9999998741442662,0.0,0.0,0.0,0.0,0.0,0.0
1690979860.8337147,0.005211761056234229,-0.002749978268575452,0.006775975975171178,-0.00017862721447291295,0.00023526350856612784,0.00023928968928525372,0.9999999277419195,0.0,0.0,0.0,0.0,0.0,0.0
1690979860.9346418,0.005977386496505237,-0.005993293135043054,0.006233743691702316,-0.0003003598537386756,0.0003659739971088438,0.0003303854450291772,0.9999998333462109,0.0,0.0,0.0,0.0,0.0,0.0
1690979861.0362377,0.007169692102339348,-0.007272912538291471,0.00940269774764992,-6.525997086193194e-05,0.000316018246642008,0.00048485777522301246,0.9999998303932565,0.0,0.0,0.0,0.0,0.0,0.0
1690979861.1362777,0.0067948793426743205,-0.010879291927305718,0.009782209700148679,4.769779243596032e-05,0.00030516381373980677,0.0004900386772333697,0.999999832231017,0.0,0.0,0.0,0.0,0.0,0.0
1690979861.2425675,0.007050336182499291,-0.00942449376043557,0.010055893333421943,-0.00033568918489182246,0.000345453876786494,0.00040769331821930826,0.9999998008802546,0.0,0.0,0.0,0.0,0.0,0.0
1690979861.3440504,0.007081972863699582,-0.010837445522942916,0.010665902054399826,-0.00021171599968962547,0.0003213753411807206,0.00045101647585831824,0.9999998242391667,0.0,0.0,0.0,0.0,0.0,0.0
1690979861.43886,0.0070139805854180165,-0.010319473696319026,0.01078182055899679,-0.00025722801819042375,0.00034077514268490526,0.0005779940248249888,0.9999997418144446,0.0,0.0,0.0,0.0,0.0,0.0
1690979861.5397377,0.0068976606096993005,-0.011777787983521025,0.011585913043574583,-0.000493495816406176,0.00040945697476461813,0.0004638062375894675,0.9999996868452704,0.0,0.0,0.0,0.0,0.0,0.0
1690979861.6405828,0.008425005857938837,-0.010735714089723613,0.011708308547470922,-0.0004563466989239812,0.0004263466749839923,0.0005106077174960865,0.9999996746279284,0.0,0.0,0.0,0.0,0.0,0.0
1690979861.7414293,0.01002914306642291,-0.012555732444618753,0.010673573363349812,-0.0005393562374738849,0.0003939601417096952,0.0005064654861233982,0.9999996486914219,0.0,0.0,0.0,0.0,0.0,0.0
1690979861.842423,0.010614472354490171,-0.01203444932473031,0.011100587837677898,-0.0004344535365684964,0.0003876479650123452,0.0005682505989524393,0.9999996690351634,0.0,0.0,0.0,0.0,0.0,0.0
1690979861.943145,0.01084411106279585,-0.014217236044779185,0.012853984836369828,-0.00027771176256273077,0.0003555903385978377,0.0005456735254395229,0.9999997493360138,0.0,0.0,0.0,0.0,0.0,0.0
1690979862.044281,0.009943171808397834,-0.014541325245315985,0.013407024381363599,-0.00026956678853272127,0.00040677820932862816,0.0006852731946323058,0.9999996461328782,0.0,0.0,0.0,0.0,0.0,0.0
1690979862.1448765,0.010891829221018605,-0.014971354476893104,0.013073557785150413,-0.0002290564548781769,0.0004308031971641188,0.0005654873185457556,0.9999997210828793,0.0,0.0,0.0,0.0,0.0,0.0
1690979862.2457352,0.01012934938952623,-0.01441410916948288,0.012703628435684218,-0.00017996836122030827,0.0003716583321613459,0.0006220790701233493,0.9999997212495116,0.0,0.0,0.0,0.0,0.0,0.0
1690979862.3465915,0.010067550234494068,-0.011875630163538506,0.012079824634831239,-0.0002867053900074335,0.00039047142676396605,0.0005172801232727743,0.999999748876646,0.0,0.0,0.0,0.0,0.0,0.0
1690979862.450709,0.007954807743902219,-0.010009965228542032,0.012597711587259504,-0.00015437568593210896,0.0004258372936700489,0.0004919721274226351,0.9999997763970601,0.0,0.0,0.0,0.0,0.0,0.0
1690979862.5502398,0.00725958468249569,-0.009600331898392907,0.011969277171219468,-0.00022697566964291152,0.00043441887090732206,0.0005001079682461272,0.9999997548271238,0.0,0.0,0.0,0.0,0.0,0.0
1690979862.6492314,0.008262637901799316,-0.008588275659825317,0.011949056425947183,-0.0003022866093232959,0.0004067415773208266,0.0005658316545993108,0.9999997115092741,0.0,0.0,0.0,0.0,0.0,0.0
1690979862.7507043,0.009044053682836393,-0.008702812525582117,0.012381357261992977,-0.0002037378383111918,0.00041419415793470795,0.00047718018008371406,0.9999997796165584,0.0,0.0,0.0,0.0,0.0,0.0
1690979862.850892,0.00805394755186296,-0.008982860817444583,0.013342830132531956,-0.00033600702821170395,0.0004283896570123204,0.00044530316188310667,0.9999997526433044,0.0,0.0,0.0,0.0,0.0,0.0
1690979862.9517505,0.008503626924980554,-0.012545766607212211,0.012445675117197859,-0.00012085401134453063,0.0003971314726832326,0.0006052041150270205,0.9999997307044024,0.0,0.0,0.0,0.0,0.0,0.0
1690979863.052841,0.006227054345837391,-0.013095919285710347,0.012801559714310878,-0.00025466262829645133,0.00046689448348543374,0.0006098939937915208,0.9999996725928464,0.0,0.0,0.0,0.0,0.0,0.0
1690979863.1548426,0.00756902084014308,-0.01205919904387443,0.01275600720082825,-0.00024322583160596957,0.0004184513193810268,0.0006119954764148749,0.999999695600564,0.0,0.0,0.0,0.0,0.0,0.0
1690979863.254332,0.00887804784120952,-0.010685115357694976,0.01295847953490433,-9.569697389975269e-05,0.0003526736586107978,0.0005904795137021429,0.9999997588986306,0.0,0.0,0.0,0.0,0.0,0.0
1690979863.355201,0.008173545643498132,-0.010491082220118512,0.009588731882487494,-0.0002318840977612493,0.00037611669005702163,0.0005424184336973755,0.9999997552740892,0.0,0.0,0.0,0.0,0.0,0.0
