time_sec,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
1690979859.522727,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1690979859.6233826,-0.003611561842262745,0.00763394869863987,0.0036256597377359867,0.00017718103881367612,0.0001571002382934371,-0.00032803974509147503,0.9999999181581568,0.00012117221194785088,0.0001740180014166981,-0.0024918990675359964,5.401766247814521e-05,6.414091330952942e-05,-2.4754581318120472e-06
1690979859.7242336,-0.0040274327620863914,0.012124861590564251,0.006171800661832094,0.0002734375344664968,0.00016702908377628717,-0.00023194018066515689,0.9999999217684733,0.0004985131090506911,0.00030881480779498816,-0.004146316088736057,0.00010054695303551853,7.87510653026402e-05,-5.928566679358482e-06
1690979859.825133,-0.0051157232373952866,0.0074799214489758015,0.004966033156961203,0.0001656089945362801,0.00017081133989760343,-0.0002203891985771329,0.9999999474128727,-0.0011048781452700496,0.0004873527796007693,-0.0054662348702549934,0.00016390514792874455,-0.00033649581018835306,9.906898412737064e-07
1690979859.9267378,-0.006373310461640358,0.012551337480545044,0.010403331369161606,0.00024015836670403636,0.00027216275988924344,-7.090886951474022e-05,0.9999999316116595,-0.0024023759178817272,0.0007337558199651539,0.000635209959000349,0.0002562853624112904,-0.0005130009958520532,1.4364456546900328e-05
1690979860.0268345,-0.006950765382498503,0.0063092149794101715,0.007531097158789635,0.00017717782672434175,0.00010314645025234866,-0.0005763802912892902,0.9999998128772761,0.0019136350601911545,0.0009996355511248112,-0.0036151749081909657,0.00035751156974583864,-0.0026152406353503466,2.5943272703443654e-05
1690979860.1278114,-0.003286392893642187,0.009872019290924072,0.005006297491490841,0.00020676416758811685,7.316519319540898e-05,-0.0002028341642584942,0.9999999553768667,0.006214909255504608,0.0012955779675394297,-0.007792857475578785,0.00046702890540473163,-0.0045352112501859665,2.7956435587839223e-05
1690979860.228541,-0.004461631178855896,0.007881011813879013,0.0031380464788526297,0.00017436663600195275,0.0001282560786763026,-0.00028439119079049115,0.9999999361341506,0.009865556843578815,0.0015936256386339664,-0.011593460105359554,0.000576274876948446,-0.006422834470868111,2.4736606064834632e-05
1690979860.3298197,-0.0042483811266720295,0.008442162536084652,0.004230374004691839,0.00015029266267294568,0.0003145068500167256,0.0008076851750480265,0.9999996130710324,0.010379325598478317,0.0019941702485084534,-0.015601864084601402,0.0007192830671556294,-0.007872570306062698,2.19316116272239e-05
1690979860.430256,-0.00469796359539032,0.007278158329427242,0.007256113924086094,0.00011453824791752511,0.00031499980903893805,0.0006558019486632504,0.9999997287899204,0.011739484965801239,0.0024240852799266577,-0.019810684025287628,0.0008691162220202386,-0.009139329195022583,1.5839685147511773e-05
1690979860.542727,-0.005517376121133566,0.006115122698247433,0.004986507818102837,9.629688524940092e-05,0.00028890490426234787,0.0005068629348339552,0.9999998251754003,0.013768711127340794,0.002884786808863282,-0.02370370551943779,0.001020347815938294,-0.010389817878603935,8.616212653578259e-06
1690979860.6334345,-0.00654053408652544,0.012900836765766144,0.005611453205347061,0.00023401732798698294,0.0003213412370620674,-0.00016264396653535178,0.9999999077613156,0.013905094936490059,0.0033328491263091564,-0.009614658541977406,0.0011668545193970203,-0.014095701277256012,4.148335790432611e-07
1690979860.7328968,-0.004692542366683483,0.009735309518873692,0.010007101111114025,0.00021778788058137647,0.00019966417211109955,-0.00034669115164282004,0.999999896253946,0.013656658120453358,0.0037146126851439476,0.0035727424547076225,0.0013026011874899268,-0.01774091087281704,-2.547789699747227e-05
1690979860.8337147,-0.003338589332997799,0.012241986580193043,0.009220081381499767,0.0002539588981547469,0.00016226295825007192,-0.000172161362622031,0.9999999397680359,0.016622699797153473,0.004097156226634979,0.009553932584822178,0.0014523431891575456,-0.021213462576270103,-5.945194061496295e-05
1690979860.9346418,-0.00426003523170948,0.011285228654742241,0.005517769604921341,0.0002575181343708057,0.0002111535332051781,-0.00025894241274620144,0.9999999110237073,0.022397492080926895,0.0044402931816875935,0.010093459859490395,0.001588907791301608,-0.023510487750172615,-0.00010228307655779645
1690979861.0362377,-0.0060974047519266605,0.009793039411306381,0.002294933656230569,0.00025339502727659045,0.00023803231015005497,-0.00042049103767262706,0.9999998511594222,0.02777359075844288,0.004712745081633329,0.010840348899364471,0.0016996355261653662,-0.025751225650310516,-0.00015061761951074004
1690979861.1362777,-0.0035294843837618828,0.011732113547623158,0.0032950108870863914,0.0002484772518039904,3.8100053633912617e-05,-0.00046097269709896035,0.9999998621557975,0.03602812439203262,0.004958256613463163,0.006695291493088007,0.0018027067417278886,-0.02703190967440605,-0.0002035773650277406
1690979861.2425675,-0.0011018648510798812,0.012116529978811741,0.004836632404476404,0.00027807547044363817,-7.629102940429816e-06,-0.00034699293567042207,0.9999999011058611,0.04412321001291275,0.005249835550785065,0.0018111863173544407,0.001915411208756268,-0.02837669849395752,-0.00024816725635901093
1690979861.3440504,-0.0014013677136972547,0.008811294101178646,0.0033808518201112747,0.00021859681629600873,-4.164507995830337e-05,-0.0002995513881333917,0.9999999303750402,0.040087904781103134,0.005664019845426083,-0.0035101515240967274,0.002060843165963888,-0.029410436749458313,-0.0002759637718554586
1690979861.43886,-0.006736371666193008,0.014078264124691486,0.002607232891023159,0.0003129460988855668,0.00021586935792799114,-0.0002763037306210373,0.9999998895606979,0.039695512503385544,0.006081380415707827,-0.007004669867455959,0.0022103027440607548,-0.030204176902770996,-0.0003036655252799392
